VDD Cap Spikes Frequency Energy_Per_Spike
0.3 2e-15 5 2.5E+08 1.83738E-18
0.3 3e-15 4 2E+08 2.23415E-18
0.3 4e-15 3 1.5E+08 2.45709E-18
0.3 5e-15 3 1.5E+08 2.89941E-18
0.3 6e-15 3 1.5E+08 1.85132E-18
0.3 7e-15 2 1E+08 3.03398E-18
0.3 8e-15 2 1E+08 3.33767E-18
0.3 9e-15 2 1E+08 3.61825E-18
0.3 10e-15 2 1E+08 3.88376E-18
0.31 0.125e-15 32 1.6E+09 7.24679E-19
0.31 0.25e-15 20 1E+09 8.87245E-19
0.31 0.5e-15 12 6E+08 1.21747E-18
0.31 1e-15 8 4E+08 1.53368E-18
0.31 2e-15 5 2.5E+08 1.8995E-18
0.31 3e-15 4 2E+08 2.37533E-18
0.31 4e-15 3 1.5E+08 2.7062E-18
0.31 5e-15 3 1.5E+08 3.10555E-18
0.31 6e-15 2 1E+08 2.98665E-18
0.31 7e-15 2 1E+08 3.25668E-18
0.31 8e-15 2 1E+08 3.52278E-18
0.31 9e-15 2 1E+08 3.86401E-18
0.31 10e-15 2 1E+08 4.16676E-18
0.32 0.125e-15 34 1.7E+09 7.90132E-19
0.32 0.25e-15 21 1.05E+09 9.68844E-19
0.32 0.5e-15 12 6E+08 1.26969E-18
0.32 1e-15 8 4E+08 1.7403E-18
0.32 2e-15 5 2.5E+08 2.24774E-18
0.32 3e-15 4 2E+08 2.6637E-18
0.32 4e-15 3 1.5E+08 3.00148E-18
0.32 5e-15 3 1.5E+08 3.3979E-18
0.32 6e-15 2 1E+08 3.38832E-18
0.32 7e-15 2 1E+08 3.68512E-18
0.32 8e-15 2 1E+08 3.98151E-18
0.32 9e-15 2 1E+08 4.27755E-18
0.32 10e-15 2 1E+08 4.57451E-18
0.33 0.125e-15 38 1.9E+09 8.01898E-19
0.33 0.25e-15 22 1.1E+09 1.038E-18
0.33 0.5e-15 13 6.5E+08 1.41739E-18
0.33 1e-15 8 4E+08 1.97146E-18
0.33 2e-15 5 2.5E+08 2.45582E-18
0.33 3e-15 4 2E+08 2.88662E-18
0.33 4e-15 3 1.5E+08 3.27086E-18
0.33 5e-15 3 1.5E+08 3.70506E-18
0.33 6e-15 2 1E+08 3.7064E-18
0.33 7e-15 2 1E+08 4.01802E-18
0.33 8e-15 2 1E+08 4.31551E-18
0.33 9e-15 2 1E+08 4.53404E-18
0.33 10e-15 2 1E+08 4.8708E-18
0.34 0.125e-15 39 1.95E+09 9.39196E-19
0.34 0.25e-15 24 1.2E+09 1.10281E-18
0.34 0.5e-15 13 6.5E+08 1.43379E-18
0.34 1e-15 8 4E+08 1.81486E-18
0.34 2e-15 5 2.5E+08 2.52286E-18
0.34 3e-15 4 2E+08 2.80445E-18
0.34 4e-15 3 1.5E+08 3.29176E-18
0.34 5e-15 3 1.5E+08 3.80131E-18
0.34 6e-15 2 1E+08 3.8658E-18
0.34 7e-15 2 1E+08 4.23452E-18
0.34 8e-15 2 1E+08 4.59006E-18
0.34 9e-15 2 1E+08 4.92053E-18
0.34 10e-15 2 1E+08 5.04707E-18
0.35 0.125e-15 43 2.15E+09 9.76434E-19
0.35 0.25e-15 27 1.35E+09 1.12984E-18
0.35 0.5e-15 14 7E+08 1.55798E-18
0.35 1e-15 7 3.5E+08 2.18017E-18
0.35 2e-15 5 2.5E+08 2.47814E-18
0.35 3e-15 4 2E+08 3.16712E-18
0.35 4e-15 3 1.5E+08 3.68889E-18
0.35 5e-15 3 1.5E+08 4.19825E-18
0.35 6e-15 2 1E+08 4.17544E-18
0.35 7e-15 2 1E+08 4.38719E-18
0.35 8e-15 2 1E+08 4.82036E-18
0.35 9e-15 2 1E+08 5.24041E-18
0.35 10e-15 2 1E+08 5.632E-18
0.36 0.125e-15 44 2.2E+09 1.11879E-18
0.36 0.25e-15 30 1.5E+09 1.18282E-18
0.36 0.5e-15 16 8E+08 1.5461E-18
0.36 1e-15 7 3.5E+08 2.26275E-18
0.36 2e-15 5 2.5E+08 2.79378E-18
0.36 3e-15 4 2E+08 3.54012E-18
0.36 4e-15 3 1.5E+08 3.99125E-18
0.36 5e-15 3 1.5E+08 4.16665E-18
0.36 6e-15 2 1E+08 4.43716E-18
0.36 7e-15 2 1E+08 4.90542E-18
0.36 8e-15 2 1E+08 5.28971E-18
0.36 9e-15 2 1E+08 5.43533E-18
0.36 10e-15 2 1E+08 5.92175E-18
0.37 0.125e-15 49 2.45E+09 1.11091E-18
0.37 0.25e-15 31 1.55E+09 1.22452E-18
0.37 0.5e-15 18 9E+08 1.50155E-18
0.37 1e-15 7 3.5E+08 2.39803E-18
0.37 2e-15 5 2.5E+08 3.13623E-18
0.37 3e-15 3 1.5E+08 4.48794E-18
0.37 4e-15 3 1.5E+08 3.91242E-18
0.37 5e-15 3 1.5E+08 4.66008E-18
0.37 6e-15 2 1E+08 4.92124E-18
0.37 7e-15 2 1E+08 6.60838E-18
0.37 8e-15 2 1E+08 5.5294E-18
0.37 9e-15 2 1E+08 6.05222E-18
0.37 10e-15 2 1E+08 6.09084E-18
0.38 0.125e-15 52 2.6E+09 1.18054E-18
0.38 0.25e-15 24 1.2E+09 1.65189E-18
0.38 0.5e-15 17 8.5E+08 1.68539E-18
0.38 1e-15 8 4E+08 2.4984E-18
0.38 2e-15 5 2.5E+08 2.8247E-18
0.38 3e-15 3 1.5E+08 4.04141E-18
0.38 4e-15 3 1.5E+08 4.36176E-18
0.38 5e-15 2 1E+08 4.88374E-18
0.38 6e-15 2 1E+08 4.91088E-18
0.38 7e-15 2 1E+08 5.53853E-18
0.38 8e-15 2 1E+08 6.10239E-18
0.38 9e-15 2 1E+08 6.16522E-18
0.38 10e-15 2 1E+08 6.77934E-18
0.39 0.125e-15 57 2.85E+09 1.22583E-18
0.39 0.25e-15 22 1.1E+09 1.99017E-18
0.39 0.5e-15 17 8.5E+08 1.7469E-18
0.39 1e-15 9 4.5E+08 2.46274E-18
0.39 2e-15 4 2E+08 5.28457E-18
0.39 3e-15 4 2E+08 5.20144E-18
0.39 4e-15 3 1.5E+08 6.69425E-18
0.39 5e-15 2 1E+08 7.97902E-18
0.39 6e-15 2 1E+08 8.24106E-18
0.39 7e-15 2 1E+08 8.89145E-18
0.39 8e-15 2 1E+08 8.93443E-18
0.39 9e-15 2 1E+08 9.62225E-18
0.39 10e-15 2 1E+08 9.62741E-18
0.4 0.125e-15 55 2.75E+09 1.3655E-18
0.4 0.25e-15 23 1.15E+09 2.08672E-18
0.4 0.5e-15 16 8E+08 2.168E-18
0.4 1e-15 9 4.5E+08 3.22961E-18
0.4 2e-15 4 2E+08 5.70953E-18
0.4 3e-15 4 2E+08 5.70297E-18
0.4 4e-15 3 1.5E+08 7.30219E-18
0.4 5e-15 3 1.5E+08 7.29793E-18
0.4 6e-15 2 1E+08 8.99754E-18
